CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,Codcom,areaverde,averdexhab,distplaza,pobplazas
10,101,10101,Los Lagos,Llanquihue,Puerto Montt,10101,1730377.49,7.92,173650,79.43
10,101,10109,Los Lagos,Llanquihue,Puerto Varas,10109,346876.09,10.8,28490,88.71
10,102,10201,Los Lagos,Chiloé,Castro,10201,306319.44,9.17,21988,65.8
10,103,10301,Los Lagos,Osorno,Osorno,10301,2270273.57,15.37,133116,90.15
11,111,11101,Aysén del General Carlos Ibáñez del Campo,Coihaique,Coihaique,11101,350452.47,7.06,43358,87.3
12,121,12101,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,12101,1371814.6,11.12,94424,76.52
13,131,13115,Metropolitana de Santiago,Santiago,Lo Barnechea,13115,1567804.34,15.21,66190,64.2
13,132,13202,Metropolitana de Santiago,Cordillera,Pirque,13202,27703.81,2.41,3792,32.93
13,132,13203,Metropolitana de Santiago,Cordillera,San José de Maipo,13203,43960.58,3.96,4401,39.6
13,134,13404,Metropolitana de Santiago,Maipo,Paine,13404,173383.58,3.74,31400,67.74
13,135,13501,Metropolitana de Santiago,Melipilla,Melipilla,13501,364751.95,4.33,58676,69.62
13,136,13603,Metropolitana de Santiago,Talagante,Isla de Maipo,13603,72272.67,2.69,15269,56.74
14,141,14101,Los Ríos,Valdivia,Valdivia,14101,1721843.52,11.18,117776,76.48
15,151,15101,Arica y Parinacota,Arica,Arica,15101,762277.38,3.75,154433,76.03
16,161,16101,Ñuble,Diguillín,Chillán,16101,968510.59,5.75,145225,86.27
16,163,16301,Ñuble,Punilla,San Carlos,16301,253154.7,7.65,27682,83.61
13,133,13303,Metropolitana de Santiago,Chacabuco,Tiltil,13303,78790.45,6.03,6774,51.88
13,133,13301,Metropolitana de Santiago,Chacabuco,Colina,13301,1115239.62,9.46,88632,75.21
13,133,13302,Metropolitana de Santiago,Chacabuco,Lampa,13302,555319.97,6.88,56765,70.36
13,131,13125,Metropolitana de Santiago,Santiago,Quilicura,13125,844303.87,4.03,197464,94.18
13,131,13124,Metropolitana de Santiago,Santiago,Pudahuel,13124,1048199.86,4.71,210624,94.55
13,131,13103,Metropolitana de Santiago,Santiago,Cerro Navia,13103,786372.48,5.94,124231,93.83
13,131,13128,Metropolitana de Santiago,Santiago,Renca,13128,672938.41,4.58,133740,90.99
13,131,13126,Metropolitana de Santiago,Santiago,Quinta Normal,13126,398697.29,3.63,69389,63.21
13,131,13107,Metropolitana de Santiago,Santiago,Huechuraba,13107,1061523.43,10.78,84095,85.38
13,131,13104,Metropolitana de Santiago,Santiago,Conchalí,13104,417852,3.3,118977,93.83
13,131,13108,Metropolitana de Santiago,Santiago,Independencia,13108,155440.97,1.55,70732,70.69
13,131,13127,Metropolitana de Santiago,Santiago,Recoleta,13127,2927155.99,18.58,130141,82.59
13,131,13132,Metropolitana de Santiago,Santiago,Vitacura,13132,1592903.19,18.67,47736,55.96
13,131,13123,Metropolitana de Santiago,Santiago,Providencia,13123,2121068.62,14.94,91379,64.36
13,131,13114,Metropolitana de Santiago,Santiago,Las Condes,13114,1432747.4,4.87,217537,73.87
13,131,13120,Metropolitana de Santiago,Santiago,Ñuñoa,13120,508452.16,2.44,131482,63.2
13,131,13101,Metropolitana de Santiago,Santiago,Santiago,13101,1868007.66,4.64,272873,67.74
13,131,13117,Metropolitana de Santiago,Santiago,Lo Prado,13117,306691.98,3.2,91501,95.41
13,131,13106,Metropolitana de Santiago,Santiago,Estación Central,13106,533763.86,3.79,109213,77.6
13,131,13119,Metropolitana de Santiago,Santiago,Maipú,13119,2847701.93,5.5,502507,97.12
13,131,13121,Metropolitana de Santiago,Santiago,Pedro Aguirre Cerda,13121,530088.27,5.25,85958,85.08
13,131,13102,Metropolitana de Santiago,Santiago,Cerrillos,13102,1176964.65,14.58,69067,85.57
13,131,13130,Metropolitana de Santiago,Santiago,San Miguel,13130,212503.55,1.97,50862,47.17
13,131,13129,Metropolitana de Santiago,Santiago,San Joaquín,13129,462653.8,4.9,79242,84.01
13,131,13118,Metropolitana de Santiago,Santiago,Macul,13118,480763.06,4.14,100399,86.37
13,131,13113,Metropolitana de Santiago,Santiago,La Reina,13113,1296980.73,13.99,48966,52.83
13,131,13122,Metropolitana de Santiago,Santiago,Peñalolén,13122,1367424.45,5.66,217835,90.24
